Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  232 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1478971,  1482447,  3476 
1 , 3497617,  3501116,  3499 , 4037315 
2 , 5337467,  5340987,  3520 , 3679721 
3 , 7069579,  7073119,  3540 , 3464244 
4 , 8727571,  8731132,  3561 , 3316005 
5 , 10327487,  10331070,  3583 , 3199854 
6 , 11880697,  11884300,  3603 , 3106440 
7 , 13395260,  13398885,  3625 , 3029148 
8 , 14876989,  14880635,  3646 , 2963479 
9 , 16329948,  16333613,  3665 , 2905937 
10 , 17757635,  17761323,  3688 , 2855397 
11 , 19162506,  19166214,  3708 , 2809762 
12 , 20547130,  20550860,  3730 , 2769270 
13 , 21913055,  21916806,  3751 , 2731871 
14 , 23261814,  23265587,  3773 , 2697540 
15 , 24594998,  24598790,  3792 , 2666387 
16 , 25913554,  25917367,  3813 , 2637133 
17 , 27218737,  27222571,  3834 , 2610387 
18 , 28511412,  28515269,  3857 , 2585373 
19 , 29792294,  29796170,  3876 , 2561783 
20 , 31062127,  31066025,  3898 , 2539688 
21 , 32321632,  32325549,  3917 , 2519029 
22 , 33571255,  33575195,  3940 , 2499269 
23 , 34811616,  34815576,  3960 , 2480742 
24 , 36043158,  36047141,  3983 , 2463107 
25 , 37266591,  37270592,  4001 , 2446884 
26 , 38482015,  38486038,  4023 , 2430870 
27 , 39689940,  39693983,  4043 , 2415870 
28 , 40890685,  40894749,  4064 , 2401511 
29 , 42084527,  42088611,  4084 , 2387704 
30 , 43271898,  43276003,  4105 , 2374763 
31 , 44452909,  44457035,  4126 , 2362043 
32 , 45627925,  45632071,  4146 , 2350052 
33 , 46797191,  46801358,  4167 , 2338553 
34 , 47960897,  47965085,  4188 , 2327433 
35 , 49119141,  49123350,  4209 , 2316509 
36 , 50272341,  50276571,  4230 , 2306421 
37 , 51420464,  51424713,  4249 , 2296265 
38 , 52563917,  52568188,  4271 , 2286928 
39 , 53702636,  53706927,  4291 , 2277458 
40 , 54836985,  54841297,  4312 , 2268719 
41 , 55966898,  55971231,  4333 , 2259847 
42 , 57092714,  57097067,  4353 , 2251652 
43 , 58214377,  58218751,  4374 , 2243347 
44 , 59332196,  59336591,  4395 , 2235659 
45 , 60446101,  60450517,  4416 , 2227831 
46 , 61556506,  61560943,  4437 , 2220831 
47 , 62663162,  62667619,  4457 , 2213332 
48 , 63766541,  63771018,  4477 , 2206778 
49 , 64866352,  64870850,  4498 , 2199643 
50 , 65963052,  65967573,  4521 , 2193423 
51 , 67056404,  67060944,  4540 , 2186723 
52 , 68146808,  68151368,  4560 , 2180828 
53 , 69234041,  69238622,  4581 , 2174487 
54 , 70318435,  70323039,  4604 , 2168811 
55 , 71399874,  71404497,  4623 , 2162897 
56 , 72478580,  72483224,  4644 , 2157433 
57 , 73554463,  73559127,  4664 , 2151786 
58 , 74627779,  74632464,  4685 , 2146653 
59 , 75698384,  75703092,  4708 , 2141233 
60 , 76766583,  76771310,  4727 , 2136417 
61 , 77832172,  77836920,  4748 , 2131199 
62 , 78895383,  78900152,  4769 , 2126443 
63 , 79956190,  79960980,  4790 , 2121635 
64 , 81014759,  81019570,  4811 , 2117159 
65 , 82071000,  82075833,  4833 , 2112504 
66 , 83125130,  83129982,  4852 , 2108279 
67 , 84177031,  84181904,  4873 , 2103823 
68 , 85226872,  85231767,  4895 , 2099704 
69 , 86274514,  86279430,  4916 , 2095305 
70 , 87320265,  87325203,  4938 , 2091524 
71 , 88363922,  88368880,  4958 , 2087334 
72 , 89405792,  89410771,  4979 , 2083761 
73 , 90445635,  90450634,  4999 , 2079706 
74 , 91483756,  91488778,  5022 , 2076265 
75 , 92519925,  92524967,  5042 , 2072358 
76 , 93554398,  93559461,  5063 , 2068967 
77 , 94586972,  94592057,  5085 , 2065170 
78 , 95617943,  95623050,  5107 , 2061964 
79 , 96647147,  96652273,  5126 , 2058427 
80 , 97674810,  97679958,  5148 , 2055348 
81 , 98700747,  98705915,  5168 , 2051894 
82 , 99725194,  99730384,  5190 , 2048916 
83 , 100747945,  100753156,  5211 , 2045523 
84 , 101769311,  101774543,  5232 , 2042753 
85 , 102789092,  102794345,  5253 , 2039583 
86 , 103807494,  103812770,  5276 , 2036827 
87 , 104824477,  104829772,  5295 , 2033985 
88 , 105840027,  105845345,  5318 , 2031123 
89 , 106854204,  106859544,  5340 , 2028376 
90 , 107866979,  107872340,  5361 , 2025571 
91 , 108878462,  108883842,  5380 , 2022985 
92 , 109888565,  109893967,  5402 , 2020228 
93 , 110897340,  110902763,  5423 , 2017571 
94 , 111904875,  111910321,  5446 , 2015093 
95 , 112911040,  112916507,  5467 , 2012351 
96 , 113916072,  113921560,  5488 , 2010085 
97 , 114919767,  114925275,  5508 , 2007410 
98 , 115922432,  115927963,  5531 , 2005353 
99 , 116923852,  116929403,  5551 , 2002860 
100 , 117924147,  117929719,  5572 , 2000611 
101 , 118923445,  118929039,  5594 , 1998618 
102 , 119921406,  119927021,  5615 , 1995943 
103 , 120918537,  120924174,  5637 , 1994284 
104 , 121914289,  121919948,  5659 , 1991526 
105 , 122909225,  122914905,  5680 , 1989893 
106 , 123902911,  123908612,  5701 , 1987393 
107 , 124895725,  124901446,  5721 , 1985648 
108 , 125887434,  125893178,  5744 , 1983441 
109 , 126878242,  126884008,  5766 , 1981638 
110 , 127867999,  127873786,  5787 , 1979535 
111 , 128856844,  128862652,  5808 , 1977711 
112 , 129844651,  129850481,  5830 , 1975636 
113 , 130831560,  130837413,  5853 , 1973841 
114 , 131817492,  131823365,  5873 , 1971884 
115 , 132802555,  132808449,  5894 , 1970147 
116 , 133786658,  133792575,  5917 , 1968229 
117 , 134769911,  134775849,  5938 , 1966527 
118 , 135752240,  135758200,  5960 , 1964680 
119 , 136733773,  136739754,  5981 , 1963087 
120 , 137714385,  137720389,  6004 , 1961247 
121 , 138694205,  138700231,  6026 , 1959662 
122 , 139673131,  139679180,  6049 , 1957875 
123 , 140651313,  140657381,  6068 , 1956383 
124 , 141628620,  141634710,  6090 , 1954636 
125 , 142605198,  142611311,  6113 , 1953179 
126 , 143580921,  143587054,  6133 , 1951466 
127 , 144555961,  144562118,  6157 , 1950104 
128 , 145530113,  145536291,  6178 , 1948325 
129 , 146503663,  146509862,  6199 , 1947121 
130 , 147476321,  147482542,  6221 , 1945338 
131 , 148448387,  148454630,  6243 , 1944154 
132 , 149419607,  149425874,  6267 , 1942464 
133 , 150390241,  150396529,  6288 , 1941289 
134 , 151360032,  151366340,  6308 , 1939602 
135 , 152329228,  152335559,  6331 , 1938415 
136 , 153297669,  153304021,  6352 , 1936903 
137 , 154265535,  154271911,  6376 , 1935756 
138 , 155232608,  155239004,  6396 , 1934166 
139 , 156199169,  156205586,  6417 , 1933143 
140 , 157164956,  157171397,  6441 , 1931598 
141 , 158130209,  158136669,  6460 , 1930525 
142 , 159094731,  159101216,  6485 , 1929069 
143 , 160058718,  160065224,  6506 , 1927995 
144 , 161022026,  161028556,  6530 , 1926640 
145 , 161984805,  161991355,  6550 , 1925578 
146 , 162946887,  162953461,  6574 , 1924188 
147 , 163908417,  163915012,  6595 , 1923081 
148 , 164869286,  164875903,  6617 , 1921760 
149 , 165829652,  165836292,  6640 , 1920755 
150 , 166789338,  166795999,  6661 , 1919393 
151 , 167748521,  167755206,  6685 , 1918390 
152 , 168707086,  168713792,  6706 , 1917151 
153 , 169665154,  169671882,  6728 , 1916158 
154 , 170622625,  170629376,  6751 , 1914965 
155 , 171579653,  171586427,  6774 , 1914079 
156 , 172536024,  172542818,  6794 , 1912762 
157 , 173491991,  173498810,  6819 , 1911959 
158 , 174447306,  174454145,  6839 , 1910650 
159 , 175402244,  175409105,  6861 , 1909898 
160 , 176356546,  176363430,  6884 , 1908627 
161 , 177310456,  177317361,  6905 , 1907841 
162 , 178263708,  178270637,  6929 , 1906528 
163 , 179216614,  179223566,  6952 , 1905835 
