Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  279 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1439067,  1442294,  3227 
1 , 3367902,  3371142,  3240 , 3857683 
2 , 5122334,  5125592,  3258 , 3508882 
3 , 6773989,  6777261,  3272 , 3303324 
4 , 8355557,  8358848,  3291 , 3163155 
5 , 9881851,  9885158,  3307 , 3052604 
6 , 11364139,  11367463,  3324 , 2964593 
7 , 12809606,  12812946,  3340 , 2890950 
8 , 14223461,  14226818,  3357 , 2827727 
9 , 15609802,  15613176,  3374 , 2772699 
10 , 16971970,  16975362,  3392 , 2724354 
11 , 18312344,  18315750,  3406 , 2680762 
12 , 19633537,  19636961,  3424 , 2642404 
13 , 20936691,  20940132,  3441 , 2606325 
14 , 22223840,  22227297,  3457 , 2574314 
15 , 23495522,  23498995,  3473 , 2543380 
16 , 24753609,  24757098,  3489 , 2516190 
17 , 25998448,  26001954,  3506 , 2489695 
18 , 27231543,  27235066,  3523 , 2466207 
19 , 28453090,  28456627,  3537 , 2443108 
20 , 29664331,  29667886,  3555 , 2422500 
21 , 30865394,  30868967,  3573 , 2402144 
22 , 32057322,  32060910,  3588 , 2383871 
23 , 33240092,  33243695,  3603 , 2365555 
24 , 34414627,  34418247,  3620 , 2349087 
25 , 35581007,  35584643,  3636 , 2332776 
26 , 36739863,  36743517,  3654 , 2317730 
27 , 37891289,  37894957,  3668 , 2302866 
28 , 39036028,  39039714,  3686 , 2289496 
29 , 40173909,  40177612,  3703 , 2275779 
30 , 41305545,  41309263,  3718 , 2263287 
31 , 42430964,  42434699,  3735 , 2250855 
32 , 43550620,  43554372,  3752 , 2239329 
33 , 44664463,  44668231,  3768 , 2227702 
34 , 45773015,  45776799,  3784 , 2217120 
35 , 46876156,  46879956,  3800 , 2206298 
36 , 47974452,  47978270,  3818 , 2196610 
37 , 49067779,  49071611,  3832 , 2186668 
38 , 50156590,  50160438,  3848 , 2177638 
39 , 51240776,  51244640,  3864 , 2168388 
40 , 52320676,  52324556,  3880 , 2159816 
41 , 53396269,  53400166,  3897 , 2151203 
42 , 54467867,  54471779,  3912 , 2143211 
43 , 55535371,  55539302,  3931 , 2135027 
44 , 56599213,  56603159,  3946 , 2127699 
45 , 57659150,  57663112,  3962 , 2119890 
46 , 58715660,  58719637,  3977 , 2113035 
47 , 59768486,  59772481,  3995 , 2105670 
48 , 60818065,  60822075,  4010 , 2099173 
49 , 61864178,  61868204,  4026 , 2092242 
50 , 62907229,  62911272,  4043 , 2086119 
51 , 63946961,  63951020,  4059 , 2079480 
52 , 64983818,  64987892,  4074 , 2073729 
53 , 66017563,  66021654,  4091 , 2067507 
54 , 67048544,  67052651,  4107 , 2061978 
55 , 68076521,  68080642,  4121 , 2055968 
56 , 69101896,  69106035,  4139 , 2050768 
57 , 70124462,  70128617,  4155 , 2045148 
58 , 71144521,  71148692,  4171 , 2040134 
59 , 72161931,  72166117,  4186 , 2034835 
60 , 73176924,  73181126,  4202 , 2030002 
61 , 74189411,  74193630,  4219 , 2024991 
62 , 75199557,  75203792,  4235 , 2020308 
63 , 76207270,  76211522,  4252 , 2015443 
64 , 77212827,  77217093,  4266 , 2011128 
65 , 78216012,  78220296,  4284 , 2006388 
66 , 79217182,  79221481,  4299 , 2002355 
67 , 80216045,  80220362,  4317 , 1997744 
68 , 81212991,  81217322,  4331 , 1993906 
