Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  279 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1183415,  1186547,  3132 
1 , 3062205,  3065352,  3147 , 3757595 
2 , 4781355,  4784516,  3161 , 3438314 
3 , 6406327,  6409500,  3173 , 3249956 
4 , 7965150,  7968338,  3188 , 3117661 
5 , 9471438,  9474640,  3202 , 3012590 
6 , 10936222,  10939439,  3217 , 2929583 
7 , 12365567,  12368798,  3231 , 2858704 
8 , 13764472,  13767718,  3246 , 2797825 
9 , 15136715,  15139976,  3261 , 2744501 
10 , 16485748,  16489023,  3275 , 2698080 
11 , 17813524,  17816811,  3287 , 2655564 
12 , 19122245,  19125546,  3301 , 2617456 
13 , 20413705,  20417020,  3315 , 2582934 
14 , 21689316,  21692647,  3331 , 2551238 
15 , 22949928,  22953271,  3343 , 2521236 
16 , 24197161,  24200519,  3358 , 2494481 
17 , 25431523,  25434895,  3372 , 2468738 
18 , 26654231,  26657618,  3387 , 2445431 
19 , 27865667,  27869066,  3399 , 2422884 
20 , 29067020,  29070434,  3414 , 2402721 
21 , 30258345,  30261773,  3428 , 2382664 
22 , 31440662,  31444103,  3441 , 2364647 
23 , 32613748,  32617203,  3455 , 2346186 
24 , 33778780,  33782251,  3471 , 2330080 
25 , 34935819,  34939303,  3484 , 2314091 
26 , 36085388,  36088885,  3497 , 2299151 
27 , 37227560,  37231072,  3512 , 2284359 
28 , 38362902,  38366428,  3526 , 2270698 
29 , 39491540,  39495079,  3539 , 2257289 
30 , 40613895,  40617450,  3555 , 2244726 
31 , 41730077,  41733645,  3568 , 2232377 
32 , 42840535,  42844117,  3582 , 2220930 
33 , 43945279,  43948872,  3593 , 2209499 
34 , 45044662,  45048272,  3610 , 2198783 
35 , 46138732,  46142354,  3622 , 2188152 
36 , 47227835,  47231472,  3637 , 2178221 
37 , 48311986,  48315637,  3651 , 2168316 
38 , 49391456,  49395119,  3663 , 2158952 
39 , 50466303,  50469980,  3677 , 2149708 
40 , 51536892,  51540585,  3693 , 2141194 
41 , 52603156,  52606862,  3706 , 2132541 
42 , 53665349,  53669067,  3718 , 2124398 
43 , 54723561,  54727294,  3733 , 2116439 
44 , 55777900,  55781647,  3747 , 2108692 
45 , 56828482,  56832242,  3760 , 2101177 
46 , 57875355,  57879129,  3774 , 2093760 
47 , 58918651,  58922439,  3788 , 2086606 
48 , 59958552,  59962355,  3803 , 2079817 
49 , 60995036,  60998852,  3816 , 2072981 
50 , 62028377,  62032207,  3830 , 2066696 
51 , 63058419,  63062261,  3842 , 2060096 
52 , 64085527,  64089384,  3857 , 2054231 
53 , 65109492,  65113362,  3870 , 2047943 
54 , 66130686,  66134570,  3884 , 2042402 
55 , 67148869,  67152766,  3897 , 2036379 
56 , 68164406,  68168315,  3909 , 2031086 
57 , 69177125,  69181048,  3923 , 2025452 
58 , 70187259,  70191198,  3939 , 2020284 
59 , 71194725,  71198676,  3951 , 2014944 
60 , 72199667,  72203632,  3965 , 2009898 
61 , 73202079,  73206057,  3978 , 2004837 
62 , 74202091,  74206084,  3993 , 2000039 
63 , 75199650,  75203655,  4005 , 1995130 
64 , 76194877,  76198897,  4020 , 1990469 
65 , 77187707,  77191741,  4034 , 1985674 
66 , 78178291,  78182340,  4049 , 1981183 
67 , 79166525,  79170588,  4063 , 1976482 
68 , 80152762,  80156836,  4074 , 1972485 
69 , 81136776,  81140867,  4091 , 1968045 
70 , 82118817,  82122921,  4104 , 1964095 
71 , 83098796,  83102913,  4117 , 1959971 
72 , 84076886,  84081017,  4131 , 1956194 
73 , 85052987,  85057130,  4143 , 1952214 
74 , 86027292,  86031450,  4158 , 1948625 
75 , 86999651,  87003822,  4171 , 1944731 
76 , 87970294,  87974479,  4185 , 1941300 
77 , 88939012,  88943210,  4198 , 1937449 
78 , 89906102,  89910314,  4212 , 1934194 
79 , 90871349,  90875575,  4226 , 1930508 
80 , 91835014,  91839254,  4240 , 1927344 
81 , 92796887,  92801142,  4255 , 1923761 
82 , 93757219,  93761486,  4267 , 1920676 
83 , 94715858,  94720137,  4279 , 1917290 
84 , 95673021,  95677315,  4294 , 1914341 
85 , 96628528,  96632835,  4307 , 1911027 
86 , 97582629,  97586951,  4322 , 1908217 
87 , 98535122,  98539457,  4335 , 1904999 
88 , 99486270,  99490619,  4349 , 1902310 
89 , 100435886,  100440247,  4361 , 1899244 
90 , 101384169,  101388546,  4377 , 1896582 
91 , 102330941,  102335330,  4389 , 1893556 
92 , 103276460,  103280862,  4402 , 1891051 
93 , 104220513,  104224927,  4414 , 1888118 
94 , 105163361,  105167789,  4428 , 1885710 
95 , 106104768,  106109212,  4444 , 1882830 
96 , 107045044,  107049500,  4456 , 1880564 
97 , 107983912,  107988381,  4469 , 1877749 
98 , 108921673,  108926157,  4484 , 1875537 
99 , 109858076,  109862572,  4496 , 1872818 
100 , 110793392,  110797904,  4512 , 1870648 
101 , 111727416,  111731939,  4523 , 1868059 
102 , 112660343,  112664881,  4538 , 1865869 
103 , 113592012,  113596564,  4552 , 1863352 
104 , 114522648,  114527213,  4565 , 1861285 
105 , 115452022,  115456600,  4578 , 1858761 
106 , 116380405,  116384999,  4594 , 1856782 
107 , 117307550,  117312157,  4607 , 1854303 
108 , 118233740,  118238360,  4620 , 1852393 
109 , 119158711,  119163345,  4634 , 1849956 
110 , 120082775,  120087421,  4646 , 1848140 
111 , 121005669,  121010330,  4661 , 1845803 
112 , 121927672,  121932348,  4676 , 1844021 
113 , 122848534,  122853221,  4687 , 1841735 
114 , 123768505,  123773208,  4703 , 1839958 
115 , 124687393,  124692109,  4716 , 1837789 
116 , 125605437,  125610167,  4730 , 1836102 
117 , 126522386,  126527129,  4743 , 1833911 
118 , 127438506,  127443263,  4757 , 1832254 
119 , 128353576,  128358348,  4772 , 1830155 
120 , 129267826,  129272612,  4786 , 1828514 
121 , 130181078,  130185878,  4800 , 1826518 
122 , 131093544,  131098357,  4813 , 1824945 
123 , 132005006,  132009831,  4825 , 1822936 
124 , 132915716,  132920557,  4841 , 1821436 
125 , 133825453,  133830307,  4854 , 1819487 
126 , 134734443,  134739311,  4868 , 1817994 
127 , 135642484,  135647365,  4881 , 1816095 
128 , 136549809,  136554705,  4896 , 1814665 
129 , 137456211,  137461119,  4908 , 1812816 
130 , 138361921,  138366844,  4923 , 1811435 
131 , 139266717,  139271653,  4936 , 1809605 
132 , 140170831,  140175782,  4951 , 1808243 
133 , 141074065,  141079028,  4963 , 1806480 
134 , 141976641,  141981619,  4978 , 1805167 
135 , 142878338,  142883328,  4990 , 1803406 
136 , 143779385,  143784390,  5005 , 1802109 
137 , 144679574,  144684593,  5019 , 1800392 
138 , 145579130,  145584161,  5031 , 1799124 
139 , 146477846,  146482893,  5047 , 1797448 
140 , 147375971,  147381031,  5060 , 1796263 
141 , 148273272,  148278345,  5073 , 1794615 
142 , 149169985,  149175073,  5088 , 1793441 
143 , 150065895,  150070995,  5100 , 1791832 
144 , 150961209,  150966324,  5115 , 1790643 
145 , 151855749,  151860879,  5130 , 1789095 
146 , 152749719,  152754863,  5144 , 1787954 
147 , 153642931,  153648087,  5156 , 1786436 
148 , 154535548,  154540721,  5173 , 1785251 
149 , 155427408,  155432594,  5186 , 1783733 
150 , 156318722,  156323922,  5200 , 1782642 
151 , 157209282,  157214494,  5212 , 1781132 
152 , 158099297,  158104527,  5230 , 1780048 
153 , 158988575,  158993819,  5244 , 1778570 
154 , 159877336,  159882594,  5258 , 1777536 
155 , 160765368,  160770639,  5271 , 1776077 
156 , 161652900,  161658186,  5286 , 1775079 
157 , 162539710,  162545009,  5299 , 1773633 
158 , 163426050,  163431365,  5315 , 1772696 
159 , 164311683,  164317011,  5328 , 1771279 
160 , 165196848,  165202192,  5344 , 1770346 
161 , 166081329,  166086686,  5357 , 1768975 
162 , 166965357,  166970729,  5372 , 1768071 
163 , 167848728,  167854113,  5385 , 1766755 
164 , 168731645,  168737044,  5399 , 1765848 
165 , 169613910,  169619322,  5412 , 1764543 
166 , 170495715,  170501142,  5427 , 1763625 
167 , 171376908,  171382347,  5439 , 1762398 
168 , 172257641,  172263096,  5455 , 1761482 
169 , 173137766,  173143234,  5468 , 1760263 
170 , 174017442,  174022924,  5482 , 1759366 
171 , 174896522,  174902019,  5497 , 1758175 
172 , 175775159,  175780670,  5511 , 1757288 
173 , 176653209,  176658734,  5525 , 1756114 
174 , 177530821,  177536361,  5540 , 1755239 
175 , 178407871,  178413424,  5553 , 1754113 
176 , 179284472,  179290042,  5570 , 1753219 
177 , 180160527,  180166109,  5582 , 1752122 
178 , 181036139,  181041735,  5596 , 1751238 
179 , 181911240,  181916850,  5610 , 1750216 
180 , 182785904,  182791529,  5625 , 1749343 
181 , 183660058,  183665696,  5638 , 1748321 
182 , 184533788,  184539441,  5653 , 1747475 
183 , 185407008,  185412675,  5667 , 1746454 
184 , 186279835,  186285515,  5680 , 1745667 
185 , 187152154,  187157850,  5696 , 1744654 
186 , 188024085,  188029795,  5710 , 1743876 
187 , 188895505,  188901230,  5725 , 1742855 
188 , 189766539,  189772278,  5739 , 1742082 
189 , 190637067,  190642821,  5754 , 1741071 
190 , 191507248,  191513015,  5767 , 1740375 
191 , 192376913,  192382696,  5783 , 1739346 
192 , 193246226,  193252023,  5797 , 1738640 
193 , 194115043,  194120854,  5811 , 1737648 
194 , 194983511,  194989337,  5826 , 1736951 
195 , 195851490,  195857330,  5840 , 1735972 
196 , 196719102,  196724958,  5856 , 1735240 
197 , 197586252,  197592123,  5871 , 1734315 
198 , 198453061,  198458946,  5885 , 1733632 
199 , 199319404,  199325304,  5900 , 1732701 
200 , 200185397,  200191309,  5912 , 1731998 
201 , 600608,  605248,  4640 , 8190763742 
202 , 1523809,  1528464,  4655 , 1846417 
203 , 2446143,  2450812,  4669 , 1844682 
204 , 3367323,  3372006,  4683 , 1842374 
205 , 4287639,  4292335,  4696 , 1840645 
206 , 5206862,  5211570,  4708 , 1838458 
207 , 6125249,  6129971,  4722 , 1836788 
208 , 7042522,  7047257,  4735 , 1834559 
209 , 7958963,  7963714,  4751 , 1832898 
210 , 8874361,  8879125,  4764 , 1830809 
211 , 9788943,  9793721,  4778 , 1829178 
212 , 10702452,  10707243,  4791 , 1827031 
213 , 11615193,  11619999,  4806 , 1825497 
214 , 12526881,  12531700,  4819 , 1823389 
215 , 13437821,  13442655,  4834 , 1821895 
216 , 14347782,  14352631,  4849 , 1819937 
217 , 15257004,  15261868,  4864 , 1818459 
218 , 16165246,  16170121,  4875 , 1816495 
219 , 17072804,  17077693,  4889 , 1815130 
220 , 17979371,  17984273,  4902 , 1813147 
221 , 18885261,  18890179,  4918 , 1811796 
222 , 19790188,  19795121,  4933 , 1809869 
