t (s),V (mV)
0,0.152807
0.76,0.161466
1.728,0.162041
2.729,0.161747
3.729,0.161471
4.729,0.161788
5.729,0.161729
6.729,0.161273
7.729,0.160936
8.729,0.16089
9.869,0.160299
10.728,0.159582
11.729,0.159053
12.729,0.158487
13.728,0.157828
14.729,0.157583
15.729,0.15689
16.728,0.156405
17.729,0.155576
18.729,0.154983
19.729,0.154322
20.729,0.153995
21.869,0.153478
22.729,0.153001
23.729,0.152444
24.729,0.152366
25.729,0.151474
26.729,0.151259
27.729,0.150306
28.729,0.149919
29.729,0.149361
30.729,0.14889
31.729,0.148478
32.729,0.14812
33.869,0.147224
34.729,0.146999
35.729,0.146042
36.729,0.145813
37.729,0.145103
38.728,0.14483
39.729,0.144272
40.729,0.144137
41.728,0.143636
42.729,0.142894
43.729,0.142335
44.729,0.141475
45.868,0.14084
46.729,0.140135
47.729,0.139716
48.729,0.139069
49.729,0.138182
50.729,0.137979
51.729,0.137158
52.729,0.136286
53.729,0.135833
54.729,0.135156
55.729,0.134557
56.728,0.134441
57.868,0.133514
58.729,0.133472
59.729,0.133338
60.729,0.132599
61.729,0.132103
62.729,0.131441
63.729,0.130725
64.729,0.130341
65.729,0.130306
66.729,0.129593
67.729,0.128989
68.729,0.128526
69.869,0.127902
70.729,0.127608
71.729,0.126833
72.729,0.126408
73.729,0.126126
74.729,0.125692
75.728,0.125119
76.729,0.124374
77.729,0.124137
78.729,0.123929
79.729,0.123176
80.729,0.122752
81.869,0.122385
82.729,0.121804
83.728,0.121659
84.729,0.120853
85.729,0.120734
86.729,0.120452
87.729,0.120196
88.729,0.119823
89.728,0.119429
90.729,0.119243
91.729,0.118767
92.729,0.118836
93.869,0.118034
94.729,0.117447
95.729,0.117251
96.729,0.117033
97.729,0.116626
98.729,0.115859
99.729,0.116012
100.729,0.115715
101.729,0.11534
102.729,0.114878
103.729,0.114589
104.729,0.114466
105.869,0.114191
106.728,0.113849
107.729,0.113505
108.729,0.113103
109.729,0.11322
110.73,0.112519
111.729,0.112391
112.729,0.11275
113.729,0.112407
114.729,0.112067
115.729,0.111648
116.729,0.111024
117.869,0.110711
118.728,0.110255
119.729,0.10996
120.729,0.10975
121.729,0.109232
122.729,0.10887
123.729,0.108776
124.729,0.108661
125.729,0.108574
126.729,0.108014
127.729,0.107846
128.729,0.107807
129.869,0.107349
130.729,0.107801
131.729,0.107366
132.729,0.106833
133.729,0.106622
134.729,0.106429
135.729,0.106069
136.729,0.105647
137.729,0.105819
138.729,0.10535
139.728,0.104963
140.729,0.104134
141.869,0.104192
142.729,0.103822
143.729,0.104051
144.729,0.103588
145.728,0.10322
146.729,0.102821
147.729,0.102858
148.729,0.102577
149.729,0.10242
150.729,0.102187
151.729,0.10189
152.729,0.101729
153.868,0.100832
154.729,0.10065
155.729,0.100571
156.729,0.100898
157.729,0.100692
158.729,0.100303
159.729,0.0999799
160.729,0.0994144
161.728,0.0994092
162.729,0.0990722
163.729,0.0991191
164.728,0.0991115
165.868,0.0988493
166.729,0.0987891
167.729,0.09845
168.729,0.0979534
169.729,0.0979519
170.729,0.0980719
171.729,0.0974043
172.729,0.0970307
173.729,0.0971515
174.729,0.0967924
175.729,0.0966009
176.729,0.0965771
177.869,0.0963065
178.729,0.0964253
179.729,0.0959469
180.729,0.0960076
181.729,0.095751
182.729,0.0955207
183.729,0.0954483
184.728,0.0956038
185.729,0.0955289
186.729,0.095122
187.729,0.0954584
188.729,0.0946812
189.87,0.0952164
190.729,0.0950858
191.729,0.0951592
192.729,0.094803
193.729,0.0946785
194.728,0.0943748
195.729,0.0948906
196.729,0.0943965
197.729,0.0938409
198.729,0.0941291
199.729,0.0940464
200.729,0.0937336
201.869,0.0935901
202.728,0.0930491
203.729,0.0929919
204.728,0.0931166
205.729,0.0932706
206.729,0.0929552
207.729,0.0928485
208.729,0.0930847
209.729,0.0924523
210.729,0.0922907
211.728,0.0924622
212.729,0.0921755
213.869,0.0922182
214.728,0.0921646
215.729,0.0917953
216.728,0.0917978
217.729,0.0919503
218.729,0.0917193
219.729,0.0913961
220.729,0.0915359
221.729,0.0916423
222.729,0.0918993
223.729,0.0920426
224.729,0.0915903
225.868,0.0917391
226.728,0.0918346
227.729,0.0915392
228.729,0.0917993
229.728,0.0917315
230.729,0.0918867
231.729,0.0916664
232.729,0.0920235
233.729,0.0921259
234.729,0.091907
235.729,0.0918052
236.729,0.0916868
237.869,0.0915889
238.729,0.0916192
239.729,0.0914778
240.729,0.0917155
241.729,0.0917325
242.729,0.0918986
243.729,0.0920446
244.729,0.0923493
245.729,0.0922974
246.729,0.0921352
247.729,0.0921248
248.728,0.0922249
249.868,0.0918853
250.729,0.0919623
251.728,0.0919486
252.729,0.0915903
253.729,0.0919705
254.729,0.0919604
255.729,0.0919088
256.729,0.0919591
257.729,0.0918896
258.729,0.0919703
259.729,0.0919571
260.729,0.0916106
261.869,0.091468
262.729,0.091594
263.729,0.092023
264.729,0.0915965
265.729,0.0916266
266.729,0.0919186
267.729,0.0918711
268.729,0.0917164
269.729,0.0916976
270.729,0.0919904
271.729,0.0919788
272.729,0.0919329
273.869,0.0916443
274.729,0.0916413
275.729,0.0915209
276.729,0.0912685
277.729,0.0917571
278.729,0.0912175
279.729,0.0912701
280.729,0.0914653
281.729,0.0915842
282.729,0.09183
283.729,0.0914365
284.729,0.0912796
285.869,0.0916551
286.729,0.0915708
