t (s),V (mV)
0,1.28754
1.001,1.27882
2,1.2727
3,1.26633
4,1.2603
5,1.25451
6,1.24866
7,1.24289
8.14,1.23653
9,1.23188
10.001,1.22684
11,1.22148
12.001,1.21625
13.001,1.21097
14.001,1.20578
15,1.20084
16.001,1.1958
17,1.19113
18,1.18598
19,1.18144
20.14,1.1757
21,1.17201
22,1.16751
23,1.16311
24.001,1.15828
25,1.15368
26,1.14925
27.001,1.14502
28,1.14081
29.001,1.13648
30,1.13235
31,1.12823
32.141,1.12311
33,1.11968
34.001,1.1157
35,1.11161
36,1.1075
37,1.10302
38.001,1.09913
39,1.09478
40.001,1.0909
41,1.08673
42.001,1.08272
43,1.0787
44.141,1.07468
45,1.07112
46,1.06782
47.001,1.06396
48,1.06022
49.001,1.05644
50,1.0528
51.001,1.04929
52.001,1.04561
53,1.04187
54.001,1.03819
55,1.03479
56.141,1.03087
57,1.02765
58.001,1.0239
59,1.02033
60.001,1.01726
61,1.01322
62,1.00989
63,1.00633
64,1.00316
65,0.999367
66,0.996103
67.001,0.993193
68.141,0.988811
69,0.985892
70.001,0.982038
71.001,0.978688
72,0.975233
73,0.971773
74.001,0.96847
75,0.965223
76,0.961725
77.001,0.958594
78,0.955163
79.001,0.952367
80.141,0.948109
81.001,0.945689
82,0.942301
83,0.939316
84.001,0.935701
85,0.932256
86.001,0.929301
87,0.92578
88.001,0.922917
89,0.919719
90,0.916513
91.001,0.913252
92.141,0.90963
93.001,0.906551
94,0.903353
95,0.900536
96.001,0.897354
97.001,0.894408
98,0.891181
99.001,0.888356
100,0.884824
101.001,0.881982
102,0.878964
103.001,0.876134
104.141,0.872569
105,0.870211
106,0.86734
107.001,0.863984
108,0.861201
109.001,0.858601
110,0.8557
111.001,0.852939
112,0.850112
113.001,0.84677
114,0.843779
115.001,0.840778
116.141,0.837718
117.001,0.835291
118,0.832303
119.001,0.829554
120,0.826503
121,0.823866
122,0.820999
123,0.81793
124,0.815332
125,0.81217
126,0.809688
127.001,0.806518
128.14,0.803132
129,0.800729
130,0.798129
131,0.795675
132.001,0.792457
133,0.789657
134.001,0.786791
135,0.784167
136,0.781946
137.001,0.779142
138,0.776179
139.001,0.773448
140.141,0.769923
141,0.767479
142.001,0.764969
143,0.762651
144.001,0.759993
145,0.757238
146.001,0.754207
147,0.751673
148,0.748747
149.001,0.746052
150,0.74308
151,0.740896
152.14,0.73803
153,0.73594
154.001,0.733471
155,0.731346
156.001,0.728684
157.001,0.726048
158,0.723565
159.001,0.720625
160.001,0.71831
161,0.715764
162.001,0.713511
163,0.711279
164.141,0.708375
165,0.706353
166,0.703852
167.001,0.701432
168,0.699117
169,0.696305
170.001,0.693943
171,0.691507
172,0.688483
173.001,0.686428
174,0.683883
175.001,0.681387
176.141,0.678018
177,0.676006
178,0.674102
179.001,0.671465
180.001,0.66959
181,0.66711
182.001,0.664715
183,0.662084
184,0.659331
185.001,0.657289
186.001,0.654982
187,0.652716
188.14,0.649612
189.001,0.647553
190,0.6454
191.001,0.643161
192,0.64034
193.001,0.638533
194,0.635502
195.001,0.633828
196,0.631412
197.001,0.629159
198,0.626886
199.001,0.624447
200.141,0.621864
201,0.619848
202,0.617368
203,0.614955
204.001,0.61291
205,0.610475
206.001,0.608369
207.001,0.606007
208,0.603976
209.001,0.601963
210,0.599432
211,0.596933
212.14,0.594569
213,0.592462
214.001,0.59002
215,0.588011
216.001,0.585458
217,0.583183
218,0.580976
219.001,0.578486
220,0.576133
221.001,0.574566
222,0.572024
223.001,0.57033
224.141,0.567722
225,0.56592
226.001,0.563595
227,0.560905
228.001,0.559272
229.001,0.556847
230,0.55512
231.001,0.55304
232,0.550747
233,0.548517
233.999,0.546499
