t (s),V (mV)
0,2.18169
0.971,2.17328
1.97,2.16482
2.971,2.15661
3.971,2.14798
4.97,2.14048
5.97,2.13275
6.971,2.12512
7.971,2.11772
8.97,2.11038
9.97,2.10327
11.11,2.09551
11.97,2.08931
12.97,2.08222
13.971,2.07497
14.97,2.06849
15.97,2.06129
16.971,2.05453
17.97,2.04784
18.97,2.04134
19.971,2.03432
20.97,2.02751
21.97,2.02138
23.11,2.01392
23.97,2.00821
24.971,2.00206
25.97,1.99514
26.97,1.98939
27.971,1.98287
28.97,1.97641
29.971,1.97023
30.97,1.96352
31.971,1.95797
32.97,1.95146
33.971,1.94594
35.111,1.93843
35.97,1.93347
36.97,1.92757
37.971,1.92144
38.97,1.91617
39.971,1.90991
40.97,1.90393
41.971,1.89793
42.97,1.8919
43.971,1.88603
44.97,1.88066
45.971,1.87497
47.111,1.86836
47.97,1.86354
48.971,1.85776
49.97,1.85238
50.971,1.84704
51.971,1.84147
52.97,1.83608
53.971,1.83086
54.97,1.82543
55.971,1.81994
56.97,1.81439
57.97,1.80877
59.11,1.80273
59.971,1.79835
60.97,1.79299
61.971,1.78777
62.97,1.78219
63.971,1.77685
64.97,1.77155
65.971,1.76644
66.97,1.76099
67.971,1.75539
68.97,1.74965
69.971,1.74496
71.111,1.73905
71.97,1.73431
72.97,1.7295
73.971,1.72448
74.97,1.71932
75.97,1.71387
76.971,1.70911
77.97,1.70399
78.97,1.69902
79.971,1.69377
80.97,1.68887
81.971,1.68351
83.111,1.67841
83.97,1.67398
84.97,1.66869
85.971,1.66425
86.97,1.65891
87.971,1.65421
88.97,1.64882
89.971,1.64408
90.97,1.63935
91.971,1.63408
92.97,1.62941
93.971,1.6245
95.111,1.6191
95.97,1.61474
96.97,1.61032
97.971,1.6052
98.97,1.60048
99.971,1.59573
100.971,1.59118
101.97,1.58591
102.971,1.58107
103.97,1.57665
104.97,1.57197
105.971,1.56698
107.111,1.56133
107.97,1.55749
108.971,1.55267
109.97,1.54811
110.971,1.54294
111.97,1.53857
112.971,1.53417
113.971,1.52954
114.97,1.52463
115.971,1.52008
116.97,1.51546
117.971,1.51108
119.111,1.50604
119.97,1.50187
120.971,1.49756
121.971,1.49305
122.97,1.48818
123.971,1.48393
124.97,1.47913
125.971,1.47502
126.971,1.47042
127.97,1.46624
128.971,1.46151
129.97,1.45682
131.111,1.45157
131.97,1.44816
132.97,1.4436
133.971,1.43928
134.97,1.43526
135.971,1.43037
136.97,1.42621
137.971,1.42193
138.97,1.41756
139.971,1.41285
140.97,1.40883
141.97,1.40455
143.11,1.39992
143.971,1.39564
144.97,1.39129
145.971,1.38705
146.97,1.38273
147.971,1.37822
148.97,1.37404
149.971,1.37007
150.97,1.36557
151.97,1.36145
152.971,1.35711
153.97,1.35298
155.11,1.34802
155.971,1.34438
156.97,1.34005
157.971,1.33602
158.97,1.33156
159.97,1.32736
160.971,1.32304
161.97,1.31858
162.971,1.31501
163.97,1.31051
164.971,1.30631
165.97,1.302
167.11,1.29749
167.971,1.29363
168.97,1.28976
169.971,1.28551
170.97,1.28122
171.97,1.27729
172.971,1.27282
173.97,1.26916
174.971,1.26471
175.97,1.26077
176.971,1.25673
177.97,1.2526
179.11,1.24795
179.97,1.24448
180.971,1.24101
181.97,1.23702
182.971,1.23277
183.97,1.22899
184.97,1.22506
185.971,1.22147
186.97,1.2173
187.97,1.21354
188.971,1.20975
189.97,1.20589
191.11,1.20145
191.97,1.19817
192.97,1.19441
193.97,1.19084
194.97,1.18675
195.97,1.18306
196.97,1.1794
197.971,1.17572
198.97,1.17196
199.971,1.16833
200.97,1.1647
201.971,1.16063
203.111,1.15634
203.97,1.15281
204.971,1.14926
205.97,1.14542
206.971,1.14185
207.97,1.13818
208.971,1.13445
209.97,1.13061
210.971,1.12693
211.97,1.12299
212.971,1.11938
213.97,1.11556
215.11,1.11162
215.97,1.10866
216.971,1.10501
217.97,1.10144
218.971,1.0978
219.97,1.09401
220.971,1.09038
221.97,1.0866
222.971,1.08355
223.97,1.0796
224.971,1.07591
225.97,1.07237
227.11,1.06826
227.97,1.0652
228.971,1.0614
229.97,1.05811
230.97,1.05462
231.971,1.05103
232.97,1.04752
233.971,1.04405
234.97,1.04024
235.97,1.03656
236.971,1.03288
237.97,1.02969
239.11,1.02556
239.97,1.02251
240.97,1.01944
241.97,1.01618
242.97,1.01301
243.971,1.0097
244.97,1.00608
245.971,1.00296
246.97,0.99914
247.971,0.99582
248.97,0.992536
249.971,0.989645
251.111,0.985649
251.97,0.982954
252.97,0.979863
