t (s),V (mV)
0,0.709716
1.001,0.705626
2,0.702278
3,0.699778
4.001,0.696574
5.001,0.693658
6,0.691139
7.14,0.687684
8,0.685634
9.001,0.682851
10.001,0.680115
11,0.677714
11.999,0.674884
12.999,0.672908
13.999,0.670462
15,0.66811
16.001,0.665602
17,0.663191
18,0.661129
19.14,0.658199
20,0.656613
21.001,0.654061
22,0.651844
23.001,0.649595
24,0.647877
25,0.645845
26.001,0.643754
27,0.641865
28,0.63948
29.001,0.637934
30,0.635768
31.141,0.633756
32,0.632467
33.001,0.630274
34,0.628503
35.001,0.626456
36,0.624621
37,0.62301
38,0.620942
39,0.619136
40.001,0.617788
41,0.615866
42.001,0.613993
43.141,0.612323
44,0.61083
45.001,0.609285
46,0.607438
47.001,0.606158
48,0.604245
49.001,0.603188
50,0.601014
51.001,0.599625
52.001,0.597885
53,0.596235
54,0.59474
55.14,0.593513
56,0.592052
57.001,0.590304
58,0.58889
59.001,0.587657
60,0.585872
61,0.584293
62.001,0.582999
63,0.581301
64.001,0.580082
65,0.577995
66,0.576727
67.14,0.574858
68.001,0.573214
69,0.571898
70.001,0.570608
71.001,0.569219
72,0.567584
73.001,0.565849
74,0.564789
75,0.562925
76.001,0.561517
77,0.560087
78,0.558897
79.14,0.557357
80,0.5564
81,0.555316
82.001,0.553533
83,0.551974
84,0.550248
85.001,0.548761
86,0.547145
87,0.545519
88.001,0.544255
89,0.542374
90.001,0.541405
91.141,0.539794
92.001,0.538728
93,0.53686
94.001,0.535529
95,0.533947
96.001,0.532723
97,0.531153
98,0.529804
99.001,0.528389
100,0.527356
101,0.525639
102.001,0.524309
103.141,0.522811
104,0.521742
105.001,0.520138
106,0.519001
107.001,0.518252
108,0.516713
109.001,0.515433
110,0.513998
111,0.512735
112.001,0.511535
113,0.510261
114,0.509432
115.14,0.507887
116,0.507117
117,0.505851
118.001,0.505009
119,0.50367
120.001,0.502387
121,0.501209
122.001,0.500047
123,0.498989
124,0.497917
125.001,0.496815
126,0.495398
127.141,0.494138
128,0.493135
129.001,0.491882
130,0.490449
131.001,0.489134
132,0.48803
133.001,0.486598
134,0.485934
135,0.484594
136.001,0.483162
137,0.481987
138.001,0.480877
139.141,0.479313
140,0.478382
141.001,0.477276
142,0.475632
143,0.474835
144.001,0.473897
145,0.472628
146.001,0.471741
147,0.470564
148.001,0.469659
149,0.46831
150,0.467457
151.14,0.465979
152,0.465156
153,0.463736
154.001,0.462868
155,0.461773
156,0.460655
157.001,0.459652
158,0.458327
159.001,0.457074
160.001,0.456107
161,0.45487
162.001,0.453549
163.141,0.451977
164,0.450818
165,0.449526
166,0.448969
167.001,0.447932
168,0.446786
169,0.445793
170.001,0.444719
171,0.4436
172,0.44205
173.001,0.44099
174,0.43983
175.14,0.438759
176.001,0.437898
177.001,0.436489
178,0.435858
179.001,0.434107
180,0.433343
181,0.432476
182.001,0.431546
183.001,0.430206
184,0.429625
185,0.42845
186.001,0.427226
187.141,0.42668
188.001,0.427337
189,0.426018
190.001,0.424309
191,0.422876
192,0.421646
193.001,0.420248
194,0.419098
195.001,0.417839
196.001,0.4167
197,0.415629
198.001,0.414536
199.14,0.413592
200.001,0.412544
201,0.411657
202,0.410603
203.001,0.409809
204,0.40868
205,0.407508
206.001,0.406159
207,0.405675
208.001,0.405008
209,0.403995
210,0.403004
211.14,0.401519
212,0.400884
213.001,0.399845
214,0.398697
215,0.396798
216.001,0.396165
217,0.395491
218,0.394548
219.001,0.393274
220,0.392554
221,0.391465
222.001,0.390316
223.14,0.389659
224,0.388288
225.001,0.386913
226,0.385988
227,0.385193
228.001,0.383653
229,0.382804
230,0.381887
231.001,0.380554
232,0.37937
233.001,0.37902
234,0.377544
235.141,0.376024
236,0.375364
237.001,0.374369
238,0.37307
239,0.372034
240.001,0.370836
241,0.370138
242.001,0.369327
243,0.36824
244,0.36693
245.001,0.365554
246,0.365551
247.141,0.364385
248,0.363639
249.001,0.362562
250,0.361499
251,0.360698
252,0.359839
253,0.35887
254,0.357722
255,0.356857
256,0.35578
257.001,0.354909
258,0.353795
259.141,0.353059
260,0.351977
261,0.35084
262.001,0.349909
263.001,0.348977
264.001,0.347915
265,0.346957
