Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  201 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1241544,  1244661,  3117 
1 , 3150507,  3153638,  3131 , 3817940 
2 , 4881756,  4884901,  3145 , 3462512 
3 , 6517766,  6520925,  3159 , 3272034 
4 , 8086196,  8089367,  3171 , 3136872 
5 , 9600233,  9603418,  3185 , 3028088 
6 , 11070268,  11073467,  3199 , 2940084 
7 , 12506385,  12509598,  3213 , 2872248 
8 , 13910697,  13913923,  3226 , 2808637 
9 , 15288556,  15291797,  3241 , 2755733 
10 , 16642333,  16645588,  3255 , 2707568 
11 , 17975401,  17978668,  3267 , 2666148 
12 , 19288716,  19291998,  3282 , 2626645 
13 , 20584782,  20588077,  3295 , 2592145 
14 , 21864499,  21867808,  3309 , 2559448 
15 , 23129557,  23132881,  3324 , 2530131 
16 , 24380664,  24384001,  3337 , 2502227 
17 , 25619104,  25622453,  3349 , 2476892 
18 , 26845365,  26848729,  3364 , 2452537 
19 , 28060394,  28063773,  3379 , 2430073 
20 , 29264750,  29268141,  3391 , 2408724 
21 , 30459291,  30462696,  3405 , 2389096 
22 , 31644520,  31647939,  3419 , 2370472 
23 , 32820838,  32824269,  3431 , 2352648 
24 , 33988768,  33992214,  3446 , 2335875 
25 , 35148627,  35152087,  3460 , 2319732 
26 , 36300828,  36304302,  3474 , 2304416 
27 , 37445803,  37449289,  3486 , 2289962 
28 , 38583690,  38587190,  3500 , 2275788 
29 , 39714917,  39718430,  3513 , 2262467 
30 , 40839619,  40843147,  3528 , 2249419 
31 , 41958214,  41961756,  3542 , 2237204 
32 , 43070797,  43074352,  3555 , 2225179 
33 , 44177756,  44181325,  3569 , 2213932 
34 , 45279178,  45282760,  3582 , 2202857 
35 , 46375371,  46378968,  3597 , 2192401 
36 , 47466411,  47470020,  3609 , 2182092 
37 , 48552542,  48556164,  3622 , 2172275 
38 , 49633898,  49637534,  3636 , 2162726 
39 , 50710651,  50714302,  3651 , 2153521 
40 , 51782907,  51786571,  3664 , 2144525 
41 , 52850839,  52854517,  3678 , 2135878 
42 , 53914612,  53918303,  3691 , 2127559 
43 , 54974336,  54978042,  3706 , 2119463 
44 , 56030125,  56033845,  3720 , 2111592 
45 , 57082110,  57085843,  3733 , 2103983 
46 , 58130386,  58134132,  3746 , 2096565 
47 , 59175067,  59178825,  3758 , 2089374 
48 , 60216284,  60220057,  3773 , 2082449 
49 , 61254100,  61257886,  3786 , 2075645 
50 , 62288664,  62292464,  3800 , 2069142 
51 , 63319934,  63323746,  3812 , 2062552 
52 , 64348086,  64351914,  3828 , 2056320 
53 , 65373203,  65377043,  3840 , 2050246 
54 , 66395315,  66399168,  3853 , 2044237 
55 , 67414543,  67418409,  3866 , 2038469 
56 , 68430889,  68434770,  3881 , 2032707 
57 , 69444505,  69448398,  3893 , 2027244 
58 , 70455352,  70459260,  3908 , 2021709 
59 , 71463641,  71467562,  3921 , 2016591 
60 , 72469272,  72473207,  3935 , 2011276 
61 , 73472436,  73476384,  3948 , 2006341 
62 , 74473090,  74477051,  3961 , 2001321 
63 , 75471354,  75475329,  3975 , 1996542 
64 , 76467241,  76471231,  3990 , 1991789 
65 , 77460813,  77464816,  4003 , 1987157 
66 , 78452118,  78456133,  4015 , 1982622 
67 , 79441230,  79445259,  4029 , 1978238 
68 , 80428111,  80432153,  4042 , 1973775 
