Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  295 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1334460,  1337559,  3099 
1 , 3239406,  3242516,  3110 , 3809903 
2 , 4982282,  4985405,  3123 , 3485765 
3 , 6627910,  6631045,  3135 , 3291268 
4 , 8206392,  8209540,  3148 , 3156977 
5 , 9731985,  9735145,  3160 , 3051198 
6 , 11215663,  11218835,  3172 , 2967368 
7 , 12662943,  12666128,  3185 , 2894573 
8 , 14079774,  14082971,  3197 , 2833674 
9 , 15469354,  15472564,  3210 , 2779173 
10 , 16835677,  16838900,  3223 , 2732659 
11 , 18180009,  18183244,  3235 , 2688676 
12 , 19505589,  19508836,  3247 , 2651172 
13 , 20813068,  20816326,  3258 , 2614969 
14 , 22104977,  22108250,  3273 , 2583833 
15 , 23381624,  23384908,  3284 , 2553305 
16 , 24645126,  24648422,  3296 , 2527016 
17 , 25895511,  25898817,  3306 , 2500780 
18 , 27134196,  27137517,  3321 , 2477385 
19 , 28361405,  28364736,  3331 , 2454428 
20 , 29578324,  29581669,  3345 , 2433852 
21 , 30784935,  30788292,  3357 , 2413234 
22 , 31982288,  31985657,  3369 , 2394718 
23 , 33170346,  33173727,  3381 , 2376128 
24 , 34350153,  34353546,  3393 , 2359626 
25 , 35521520,  35524926,  3406 , 2342747 
26 , 36685394,  36688813,  3419 , 2327761 
27 , 37841733,  37845162,  3429 , 2312688 
28 , 38991127,  38994570,  3443 , 2298802 
29 , 40133521,  40136976,  3455 , 2284800 
30 , 41269608,  41273076,  3468 , 2272187 
31 , 42399227,  42402707,  3480 , 2259250 
32 , 43523024,  43526516,  3492 , 2247606 
33 , 44640776,  44644281,  3505 , 2235517 
34 , 45753175,  45756693,  3518 , 2224811 
35 , 46859917,  46863445,  3528 , 2213494 
36 , 47961790,  47965331,  3541 , 2203759 
37 , 49058331,  49061884,  3553 , 2193094 
38 , 50150290,  50153856,  3566 , 2183931 
39 , 51237310,  51240888,  3578 , 2174052 
40 , 52320031,  52323620,  3589 , 2165453 
41 , 53398131,  53401732,  3601 , 2156212 
42 , 54472215,  54475829,  3614 , 2148181 
43 , 55541934,  55545559,  3625 , 2139449 
44 , 56607867,  56611505,  3638 , 2131879 
45 , 57669623,  57673273,  3650 , 2123524 
46 , 58727865,  58731527,  3662 , 2116496 
47 , 59782141,  59785814,  3673 , 2108563 
48 , 60833147,  60836833,  3686 , 2102025 
49 , 61880351,  61884048,  3697 , 2094419 
50 , 62924411,  62928123,  3712 , 2088135 
51 , 63964885,  63968608,  3723 , 2080959 
52 , 65002371,  65006105,  3734 , 2074983 
53 , 66036503,  66040251,  3748 , 2068278 
54 , 67067817,  67071577,  3760 , 2062640 
55 , 68095881,  68099653,  3772 , 2056140 
56 , 69121277,  69125061,  3784 , 2050804 
57 , 70143572,  70147367,  3795 , 2044601 
58 , 71163345,  71167154,  3809 , 2039560 
59 , 72180150,  72183969,  3819 , 2033620 
60 , 73194547,  73198380,  3833 , 2028808 
61 , 74206089,  74209934,  3845 , 2023096 
62 , 75215337,  75219193,  3856 , 2018507 
63 , 76221882,  76225749,  3867 , 2013101 
64 , 77226170,  77230050,  3880 , 2008589 
65 , 78227867,  78231760,  3893 , 2003407 
66 , 79227459,  79231362,  3903 , 1999194 
67 , 80224575,  80228490,  3915 , 1994244 
68 , 81219643,  81223571,  3928 , 1990149 
69 , 82212311,  82216252,  3941 , 1985349 
70 , 83203033,  83206985,  3952 , 1981455 
71 , 84191429,  84195394,  3965 , 1976805 
72 , 85177971,  85181947,  3976 , 1973095 
73 , 86162283,  86166270,  3987 , 1968635 
74 , 87144821,  87148823,  4002 , 1965091 
75 , 88125178,  88129191,  4013 , 1960725 
76 , 89103819,  89107843,  4024 , 1957293 
77 , 90080370,  90084408,  4038 , 1953116 
78 , 91055298,  91059348,  4050 , 1949868 
79 , 92028229,  92032291,  4062 , 1945874 
80 , 92999550,  93003625,  4075 , 1942655 
81 , 93968924,  93973009,  4085 , 1938758 
82 , 94936780,  94940879,  4099 , 1935726 
83 , 95902719,  95906828,  4109 , 1931888 
84 , 96867211,  96871333,  4122 , 1928997 
85 , 97829871,  97834004,  4133 , 1925331 
86 , 98791103,  98795250,  4147 , 1922478 
87 , 99750572,  99754730,  4158 , 1918949 
88 , 100708671,  100712841,  4170 , 1916210 
89 , 101665086,  101669268,  4182 , 1912842 
90 , 102620152,  102624348,  4196 , 1910146 
91 , 103573578,  103577786,  4208 , 1906864 
92 , 104525749,  104529968,  4219 , 1904353 
93 , 105476309,  105480538,  4229 , 1901130 
94 , 106425652,  106429895,  4243 , 1898700 
95 , 107373434,  107377689,  4255 , 1895576 
96 , 108320045,  108324312,  4267 , 1893234 
97 , 109265121,  109269401,  4280 , 1890165 
98 , 110209061,  110213352,  4291 , 1887891 
99 , 111151521,  111155823,  4302 , 1884931 
100 , 112092890,  112097205,  4315 , 1882751 
101 , 113032796,  113037122,  4326 , 1879823 
102 , 113971662,  113976002,  4340 , 1877746 
103 , 114909096,  114913447,  4351 , 1874879 
104 , 115845532,  115849895,  4363 , 1872884 
105 , 116780555,  116784931,  4376 , 1870059 
106 , 117714642,  117719029,  4387 , 1868185 
107 , 118647348,  118651747,  4399 , 1865424 
108 , 119579148,  119583559,  4411 , 1863612 
109 , 120509593,  120514015,  4422 , 1860901 
110 , 121439155,  121443590,  4435 , 1859137 
111 , 122367423,  122371871,  4448 , 1856549 
112 , 123294817,  123299275,  4458 , 1854798 
113 , 124220957,  124225429,  4472 , 1852294 
114 , 125146261,  125150744,  4483 , 1850619 
115 , 126070319,  126074815,  4496 , 1848129 
116 , 126993546,  126998053,  4507 , 1846465 
117 , 127915553,  127920073,  4520 , 1844027 
118 , 128836758,  128841289,  4531 , 1842421 
119 , 129756779,  129761323,  4544 , 1840055 
120 , 130676037,  130680594,  4557 , 1838529 
121 , 131594137,  131598705,  4568 , 1836211 
122 , 132511512,  132516092,  4580 , 1834762 
123 , 133427736,  133432328,  4592 , 1832460 
124 , 134343248,  134347851,  4603 , 1831035 
125 , 135257648,  135262264,  4616 , 1828813 
126 , 136171365,  136175993,  4628 , 1827446 
127 , 137083966,  137088607,  4641 , 1825215 
128 , 137995894,  138000546,  4652 , 1823867 
129 , 138906761,  138911425,  4664 , 1821746 
130 , 139816950,  139821627,  4677 , 1820391 
131 , 140726117,  140730803,  4686 , 1818343 
132 , 141634633,  141639333,  4700 , 1817046 
133 , 142542161,  142546874,  4713 , 1815069 
134 , 143449042,  143453768,  4726 , 1813775 
135 , 144354953,  144359688,  4735 , 1811831 
136 , 145260262,  145265011,  4749 , 1810632 
137 , 146164571,  146169331,  4760 , 1808629 
138 , 147068305,  147073077,  4772 , 1807480 
139 , 147971052,  147975837,  4785 , 1805507 
140 , 148873240,  148878037,  4797 , 1804388 
141 , 149774461,  149779269,  4808 , 1802453 
142 , 150675126,  150679948,  4822 , 1801344 
143 , 151574858,  151579691,  4833 , 1799475 
144 , 152474036,  152478881,  4845 , 1798368 
145 , 153372303,  153377160,  4857 , 1796546 
146 , 154270043,  154274914,  4871 , 1795494 
147 , 155166883,  155171766,  4883 , 1793692 
148 , 156063205,  156068099,  4894 , 1792655 
149 , 156958645,  156963552,  4907 , 1790893 
150 , 157853582,  157858501,  4919 , 1789886 
151 , 158747654,  158752585,  4931 , 1788156 
152 , 159641250,  159646195,  4945 , 1787206 
153 , 160533984,  160538939,  4955 , 1785478 
154 , 161426254,  161431221,  4967 , 1784552 
155 , 162317664,  162322642,  4978 , 1782831 
156 , 163208641,  163213634,  4993 , 1781969 
157 , 164098777,  164103782,  5005 , 1780284 
158 , 164988477,  164993493,  5016 , 1779411 
159 , 165877347,  165882378,  5031 , 1777755 
160 , 166765796,  166770837,  5041 , 1776908 
161 , 167653448,  167658502,  5054 , 1775317 
162 , 168540666,  168545731,  5065 , 1774447 
163 , 169427118,  169432196,  5078 , 1772917 
164 , 170313138,  170318229,  5091 , 1772053 
165 , 171198386,  171203488,  5102 , 1770507 
166 , 172083253,  172088368,  5115 , 1769747 
167 , 172967353,  172972479,  5126 , 1768211 
168 , 173851065,  173856204,  5139 , 1767437 
169 , 174734039,  174739190,  5151 , 1765960 
170 , 175616630,  175621794,  5164 , 1765195 
171 , 176498470,  176503646,  5176 , 1763692 
172 , 177379941,  177385130,  5189 , 1762955 
173 , 178260692,  178265892,  5200 , 1761513 
174 , 179141080,  179146293,  5213 , 1760789 
175 , 180020761,  180025987,  5226 , 1759375 
176 , 180900098,  180905337,  5239 , 1758687 
177 , 181778728,  181783976,  5248 , 1757269 
178 , 182657037,  182662299,  5262 , 1756632 
179 , 183534632,  183539906,  5274 , 1755202 
180 , 184411919,  184417207,  5288 , 1754588 
181 , 185288510,  185293808,  5298 , 1753192 
182 , 186164796,  186170107,  5311 , 1752585 
183 , 187040395,  187045718,  5323 , 1751210 
184 , 187915691,  187921027,  5336 , 1750605 
185 , 188790314,  188795661,  5347 , 1749257 
186 , 189664648,  189670009,  5361 , 1748682 
187 , 190538315,  190543689,  5374 , 1747347 
188 , 191411701,  191417085,  5384 , 1746782 
189 , 192284430,  192289827,  5397 , 1745471 
190 , 193156891,  193162299,  5408 , 1744933 
191 , 194028703,  194034125,  5422 , 1743638 
192 , 194900247,  194905681,  5434 , 1743100 
193 , 195771160,  195776606,  5446 , 1741838 
194 , 196641813,  196647271,  5458 , 1741318 
195 , 197511842,  197517312,  5470 , 1740070 
196 , 198381620,  198387103,  5483 , 1739569 
197 , 199250782,  199256277,  5495 , 1738336 
198 , 200119698,  200125206,  5508 , 1737845 
199 , 200988006,  200993527,  5521 , 1736629 
200 , 201856064,  201861596,  5532 , 1736127 
201 , 527383,  531899,  4516 , 8187276214 
202 , 1449009,  1453539,  4530 , 1843266 
203 , 2369939,  2374480,  4541 , 1841871 
204 , 3289606,  3294160,  4554 , 1839347 
205 , 4208621,  4213186,  4565 , 1838041 
206 , 5126347,  5130925,  4578 , 1835465 
207 , 6043473,  6048062,  4589 , 1834263 
208 , 6959357,  6963959,  4602 , 1831781 
209 , 7874650,  7879262,  4612 , 1830596 
210 , 8788728,  8793352,  4624 , 1828168 
211 , 9702176,  9706813,  4637 , 1826909 
212 , 10614470,  10619120,  4650 , 1824601 
213 , 11526166,  11530827,  4661 , 1823403 
214 , 12436728,  12441400,  4672 , 1821135 
215 , 13346737,  13351421,  4684 , 1820030 
216 , 14255594,  14260292,  4698 , 1817728 
217 , 15163927,  15168635,  4708 , 1816676 
218 , 16071141,  16075862,  4721 , 1814441 
219 , 16977867,  16982601,  4734 , 1813465 
220 , 17883470,  17888214,  4744 , 1811216 
221 , 18788578,  18793336,  4758 , 1810230 
222 , 19692621,  19697391,  4770 , 1808098 
223 , 20596178,  20600958,  4780 , 1807124 
224 , 21498693,  21503485,  4792 , 1805042 
225 , 22400722,  22405528,  4806 , 1804072 
226 , 23301714,  23306532,  4818 , 1801996 
227 , 24202251,  24207081,  4830 , 1801086 
228 , 25101778,  25106618,  4840 , 1799064 
229 , 26000853,  26005707,  4854 , 1798164 
230 , 26898934,  26903799,  4865 , 1796173 
231 , 27796579,  27801456,  4877 , 1795302 
232 , 539363,  543922,  4559 , 8535419842 
233 , 1457486,  1462058,  4572 , 1836259 
234 , 2374950,  2379533,  4583 , 1834939 
235 , 3291202,  3295797,  4595 , 1832516 
236 , 4206855,  4211461,  4606 , 1831317 
237 , 5121254,  5125874,  4620 , 1828812 
238 , 6035074,  6039704,  4630 , 1827650 
239 , 6947695,  6952338,  4643 , 1825255 
240 , 7859746,  7864403,  4657 , 1824116 
241 , 8770628,  8775295,  4667 , 1821774 
242 , 9680951,  9685631,  4680 , 1820659 
243 , 10590104,  10594796,  4692 , 1818318 
244 , 11498753,  11503456,  4703 , 1817309 
245 , 12406242,  12410958,  4716 , 1814991 
246 , 13313235,  13317962,  4727 , 1813997 
247 , 14219105,  14223845,  4740 , 1811753 
248 , 15124496,  15129247,  4751 , 1810793 
249 , 16028794,  16033556,  4762 , 1808607 
250 , 16932609,  16937384,  4775 , 1807643 
251 , 17835365,  17840153,  4788 , 1805525 
252 , 18737672,  18742471,  4799 , 1804625 
253 , 19638913,  19643725,  4812 , 1802495 
254 , 20539711,  20544536,  4825 , 1801609 
255 , 21439474,  21444310,  4836 , 1799537 
256 , 22338796,  22343644,  4848 , 1798656 
257 , 23237126,  23241986,  4860 , 1796672 
258 , 24135023,  24139894,  4871 , 1795805 
259 , 25031939,  25036823,  4884 , 1793845 
260 , 25928460,  25933356,  4896 , 1793054 
261 , 26823994,  26828901,  4907 , 1791079 
262 , 27719136,  27724057,  4921 , 1790298 
263 , 576816,  628796,  51980 , 8535697011 
264 , 1368827,  1420845,  52018 , 1584060 
265 , 2162209,  2214265,  52056 , 1586802 
266 , 2954296,  3006391,  52095 , 1584213 
267 , 3747797,  3799945,  52148 , 1587055 
268 , 4539660,  4591828,  52168 , 1583746 
269 , 5333193,  5385410,  52217 , 1587115 
270 , 6125050,  6177332,  52282 , 1583779 
271 , 6918565,  6970858,  52293 , 1587041 
272 , 7710473,  7762802,  52329 , 1583852 
273 , 8503913,  8556288,  52375 , 1586926 
274 , 9295851,  9348269,  52418 , 1583919 
275 , 10089348,  10141814,  52466 , 1587042 
276 , 10881239,  10933746,  52507 , 1583823 
277 , 11674757,  11727314,  52557 , 1587086 
278 , 12466671,  12519263,  52592 , 1583863 
279 , 418363,  467903,  49540 , 8565834924 
280 , 1210486,  1260071,  49585 , 1584291 
281 , 2003838,  2053467,  49629 , 1586748 
282 , 2795958,  2845599,  49641 , 1584252 
283 , 3589491,  3639214,  49723 , 1587148 
284 , 4381481,  4431196,  49715 , 1583972 
285 , 5174923,  5224685,  49762 , 1586931 
286 , 5967100,  6016901,  49801 , 1584393 
287 , 6760422,  6810258,  49836 , 1586679 
288 , 7552574,  7602469,  49895 , 1584363 
289 , 8345940,  8395869,  49929 , 1586766 
290 , 9138080,  9188047,  49967 , 1584318 
291 , 9931421,  9981421,  50000 , 1586715 
292 , 10723413,  10773442,  50029 , 1584013 
293 , 11516990,  11567056,  50066 , 1587191 
294 , 12308917,  12359041,  50124 , 1583912 
Число меток разделителя:  6 
0 
201 
232 
263 
279 
295 
Эффективный угловой размер затеняющй спицы:  0.005184810968  0.000003360237 
Период линейных колебаний [сек]:  1.322929059654  0.000857380316   
